feature_id,identifiability_score,decoder_norm,activation_frequency
0,0.5047125492292099,1.0000001,0.001284661
1,0.2969060244101523,1.0,0.00048853306
2,0.3036404708921489,1.0,0.00062423665
3,0.3642158742932371,1.0,0.00028045414
4,0.3725100431946534,1.0,0.0042610937
5,0.3331816617477618,1.0,0.00018998508
6,0.3568583943992974,1.0,0.0014384585
7,0.5369923474576588,1.0,0.000687565
8,0.4768008588221186,1.0,0.00076898717
9,0.4141419683518721,1.0,0.00038901705
10,0.3423586426950078,1.0,0.00028045414
11,0.5526672594598288,1.0,2.7140724e-05
12,0.4652952668692713,1.0,0.0010494414
13,0.2841955764489496,0.99999994,0.0017098656
14,0.2908003888243921,1.0,9.951599e-05
15,0.6704008854645596,1.0,0.00039806397
16,0.2387163712976056,0.99999994,0.000986113
17,0.38469356552792,1.0,0.00032568868
18,0.7341655995888079,1.0,0.0028678698
19,0.3035407584857943,1.0,0.0031935587
20,0.3005120778251564,1.0,0.0033383092
21,0.6996876587168404,0.99999994,0.0034197313
22,0.3044407400790059,0.9999999,0.0031935587
23,0.4611297997313782,1.0,0.00088659703
24,0.4635495671311332,0.99999994,0.0014113177
25,0.4357133462645135,0.99999994,0.00020807888
26,0.5768558214578282,1.0,8.142217e-05
27,0.2783553277761667,1.0,0.0005518614
28,0.3181753933098028,1.0,0.0016374903
29,0.4379283253696903,0.99999994,9.951599e-05
30,0.2988784154365754,1.0,0.00023521962
31,0.3937141823589983,1.0,0.0007780341
32,0.3382224609687544,1.0,0.0031754647
33,0.5276811606775198,0.99999994,0.0030849958
34,0.3432181948578348,1.0,1.8093817e-05
35,0.5213592902306415,0.99999994,0.00011760981
36,0.395125006737017,0.99999994,0.0020807888
37,0.3628314486503157,1.0,0.001963179
38,0.7818918356237397,0.99999994,0.0050753155
39,0.4879067626978984,1.0,0.008947392
40,0.6246537348520966,1.0,0.0023431492
41,0.3161679608484224,1.0,0.0014927399
42,0.6695359417705702,0.99999994,0.0065861493
43,0.2515671851633441,0.99999994,0.00091373775
44,0.6295416935677073,1.0,0.001963179
45,0.3174814646750108,1.0,0.002352196
46,0.4220000836268589,1.0,0.0003437825
47,0.3163404316340275,1.0,4.523454e-05
48,0.2872934301005025,1.0,2.7140724e-05
49,0.3963753956406942,0.99999994,0.002876917
50,0.8708808861017675,1.0,0.004939612
51,0.4979843640097312,0.99999994,0.0019993668
52,0.4133686469619549,1.0,0.00019903199
53,0.5385236011853972,0.99999994,0.00059709593
54,0.398036674710737,0.9999999,0.0008775501
55,0.3337163791454565,0.99999994,0.0006604243
56,0.3674799504668029,1.0,0.0011941919
57,0.3354169084376657,1.0,7.237527e-05
58,0.4953483963749049,1.0,0.004794861
59,0.4161102125496289,0.99999994,0.00039806397
60,0.7373790695830998,1.0000001,0.002659791
61,0.3869072437340204,1.0,0.00275026
62,0.5464203623927119,1.0,0.0015470213
63,0.3512677087120059,1.0000001,0.0008504094
64,0.3812095685908805,0.99999994,0.0007780341
65,0.6069783638942231,1.0000001,0.006224273
66,0.6473479823963851,0.99999994,9.951599e-05
67,0.4512623727850501,0.99999994,0.00019903199
68,0.541598335598505,1.0,2.7140724e-05
69,0.3784280331454212,1.0,0.0015198806
70,0.467228283884864,1.0,0.0015108336
71,0.340551183936214,1.0,4.523454e-05
72,0.2901345126744621,1.0,0.001185145
73,0.3304527938897924,1.0,0.0018365224
74,0.4204305301369603,1.0000001,0.0008685032
75,0.3006183546123361,0.9999999,0.0018998507
76,0.3195757659841871,1.0,0.0005428145
77,0.3205822503384046,1.0,0.00026236035
78,0.6808416837587762,0.99999994,0.0069570723
79,0.4056350245598938,1.0,0.00071470573
80,0.6024746661739199,1.0,0.0010313476
81,0.3612525572298709,1.0,0.00027140725
82,0.3505715959960216,1.0,0.0017279595
83,0.4008205689097517,1.0,0.0003347356
84,0.3165706709405586,1.0,0.0025874157
85,0.5036369832003176,1.0,0.00088659703
86,0.6020055697913738,1.0,0.00038901705
87,0.4402788806559495,1.0000001,0.00032568868
88,0.4358091394060115,1.0,0.0014565522
89,0.396438571414725,0.99999994,0.0065861493
90,0.388091375102752,0.99999994,0.00023521962
91,0.3948564360851933,1.0,0.0055728955
92,0.4657751334323557,1.0,0.00057900214
93,0.3031533190211125,0.99999994,0.00079612795
94,0.3900600823195287,1.0000001,0.0012394264
95,0.3889087281733313,0.9999999,0.0025059935
96,0.3656704273286544,0.99999994,0.0018817569
97,0.3501493387116836,0.99999994,0.0002261727
98,0.64586842105479,1.0,9.046908e-05
99,0.4327342621382549,1.0,0.0010494414
100,0.5757236948601695,1.0,0.0018546162
101,0.6064516985785587,1.0,0.0006151898
102,0.437089805518328,1.0,0.0018274755
103,0.3238820229984209,1.0,0.00025331342
104,0.3311892609725163,1.0,0.00014475053
105,0.3229999865077488,0.99999994,0.00028950107
106,0.238217059294028,0.99999994,0.00062423665
107,0.3353843387262045,1.0,0.0045144074
108,0.376538030285843,1.0,0.0022979146
109,0.3269700333214239,1.0,0.00040711087
110,0.3100988594735621,1.0,0.0010042068
111,0.3937480192800597,1.0,0.0037816076
112,0.6139275810649846,0.9999999,0.0003075949
113,0.3380168624496135,1.0,0.0014022707
114,0.4563710825350938,0.99999994,0.00029854797
115,0.3284692389222888,1.0,0.0021260234
116,0.5297136412497692,1.0,0.0018455692
117,0.5418320890219918,0.99999994,0.00094087847
118,0.6786248395634079,1.0,1.8093817e-05
119,0.639123127311356,0.99999994,0.0020898357
120,0.3584894570405761,1.0,0.00057900214
121,0.3553370703078944,1.0,0.0004252047
122,0.3532031596289936,1.0,0.0026959786
123,0.3971060590107716,1.0,0.00082326867
124,0.3325828305784951,1.0,0.002162211
