feature_id,identifiability_score,decoder_norm,activation_frequency
0,0.5829096844906088,1.132743,0.0009979053
1,0.9998063838432684,0.05396003,0.004558
2,0.8233319103119238,0.66254747,0.0008001223
3,0.7739968064263341,0.8573452,0.0005933491
4,0.8153275345050812,0.82291234,0.0031465483
5,0.8856431241322485,1.1825755,0.00046748717
6,0.950538853305125,0.45429525,0.005735708
7,0.999994270484285,0.07022054,0.009080039
8,0.9468360846036326,0.42953745,0.010104915
9,0.901632563583511,0.77664876,0.000782142
10,0.9386810556338536,0.85997725,0.0016991361
11,0.831619108914757,0.9513419,0.0014564024
12,0.965810656310543,1.1420432,0.0036949466
13,0.9419474489625244,0.94139665,0.00041354634
14,0.7828829144550218,0.7575264,0.009502576
15,0.9368050074046144,0.6005221,0.0045939605
16,0.8895336322215959,0.6136698,0.0019238895
17,0.910648839855286,0.6778779,0.00095295464
18,0.8672919907430543,0.74924266,0.001627215
19,0.9567323831192912,0.70373195,0.0019778304
20,0.6234451011112631,0.9702099,0.0005034477
21,0.825263384972063,0.7844333,0.0021396528
22,0.9999871107937556,0.08546035,0.0083967885
23,0.8734667868345102,0.9557097,2.6970414e-05
24,0.999999891121753,0.080973014,0.004737803
25,0.7577597154809067,1.0033554,0.0016002445
26,0.9405087017263828,0.5360893,0.002085712
27,0.7775202939912602,0.93297964,0.0005663787
28,0.922317203485295,0.62937045,0.00043152663
29,0.8775766054139134,0.49791244,0.0068055345
30,0.9894394362284972,0.9076205,0.0006652702
31,0.6312298401725909,0.96749455,0.0008270927
32,0.9195373915504096,0.86434114,0.0026520907
33,0.7813546255633418,0.74551755,0.0024003668
34,0.5963791109811762,0.9807881,0.0021846036
35,0.9128082908946616,0.5894165,0.0060323826
36,0.9239971438451784,0.7464536,0.004953566
37,0.5545810103664577,1.0335776,0.00034162524
38,0.8214614957013954,0.9578604,0.0004944576
39,0.6975145407993291,0.96764123,0.0008360828
40,0.9544232709462208,0.7966464,0.0037039367
41,0.8897884136226544,0.9083143,0.0018160079
42,0.8535306022235787,0.93457997,0.00011687179
43,0.711506765437953,0.890053,0.00084507297
44,0.5964267229929106,1.0381098,0.0010158856
45,0.9999666445077944,0.055093773,0.008990138
46,0.7454369296868694,0.7990609,0.0018699487
47,0.7131255809005221,0.86860853,8.990138e-06
48,0.8365493970036699,0.70076734,0.00521428
49,0.7094035658328359,1.1528368,0.0033982722
50,0.8245712057498817,0.77618986,0.00260714
51,0.7903575069637986,0.8256736,0.005681767
52,0.7749556640100762,0.9881819,0.0007282012
53,0.833080182622063,0.7472545,0.0014024616
54,0.9999975818420288,0.06528946,0.009205901
55,0.6078675444286915,1.0519375,0.0015463037
56,0.9999996905692664,0.072479226,0.009493586
57,0.7601281118175822,0.8426716,0.00325443
58,0.8934864543476267,1.0247463,0.003326351
59,0.7847849377582683,0.98548746,0.0049086153
60,0.7991870844067072,0.67178863,0.00520529
61,0.9630664474789083,0.5437622,0.00015283235
62,0.8473470386589028,0.88788587,0.00046748717
63,0.7210152381843715,1.0654856,0.00011687179
64,0.7436169044982694,0.9611813,0.00095295464
65,0.792729608970527,0.62356156,0.0029128047
66,0.9246257021725892,0.6141512,0.003838789
67,0.9985533942426288,0.19351088,0.037345033
68,0.6986131209094202,1.0524604,0.0010248757
69,0.791806241080558,0.6924054,0.007686568
70,0.9999028356484608,0.54167116,0.0030926075
71,0.6824248066970873,0.835374,0.0068684653
72,0.8589198436971976,0.90018606,0.0013125602
73,0.7384777077930487,0.8813604,0.002229554
74,0.6388000420612262,0.08362625,0.0
75,0.9860007815465622,0.3699282,0.025756745
76,0.816434003723209,0.62299454,0.0001438422
77,0.8042492739307473,1.0000175,0.00021576331
78,0.9947462703452602,0.46395832,0.002148643
79,0.871003117689774,0.82164776,0.002867854
80,0.838947747446349,0.92686945,0.00087204337
81,0.932921628795479,0.6182331,0.0010338658
82,0.8198778338757964,0.8964297,0.00325443
83,0.9181429735886644,0.6747056,0.00391071
84,0.9634589283855772,0.70058453,0.002355416
85,0.8389349417250692,0.62193155,0.0014833728
86,0.992073547808689,0.28729975,0.01953557
87,0.9048898390555064,0.30872276,0.011902942
88,0.9906444737809084,0.9331702,0.0015912544
89,0.6752813702464175,1.1374923,0.0020677317
90,0.8524504304295698,0.675493,0.00130357
91,0.8342947661292801,0.87804675,3.596055e-05
92,0.8604085851338532,0.60508686,0.0054390333
93,0.8485153198169666,0.92926085,0.0010698264
94,0.6636393114833494,1.1526432,0.00017081262
95,0.9832356393003128,0.7146076,0.0003326351
96,0.9999987308537104,0.062087856,0.009394694
97,0.8305998151893254,0.61490524,0.0119299125
98,0.8764413974847104,0.76823723,0.0007282012
99,0.9409821625998588,0.55221194,0.0019508599
100,0.660263684368509,1.3157669,0.0016002445
101,0.768172489644891,0.8724201,0.0010248757
102,0.8113429505491275,0.9567331,0.0021126824
103,0.9617070508187384,0.44608507,0.004252335
104,0.9994836558993924,0.06629017,0.0024453176
105,0.8509869885608516,1.1625875,0.0005753688
106,0.7952969946498539,0.7103486,0.0108780665
107,0.760976848856463,1.0791415,0.0016631755
108,0.7704248567288459,0.9958054,0.0003326351
109,0.9889550641119752,0.23483501,0.049904253
110,0.7103879628292304,1.116,0.00022475344
111,0.9080533745332404,0.81542826,0.005690757
112,0.7400177093352465,0.9419496,0.0038927298
113,0.874591074991359,0.8515235,0.0028498736
114,0.8755835958120776,0.43546686,0.0017890374
115,0.7751571395070448,0.80182946,0.0043871873
116,0.7704875053739275,1.008459,0.0034162523
117,0.8389477488815328,0.90410626,0.0015373136
118,0.897965152364052,0.7954306,0.0005394083
119,0.8635636590803842,0.8546865,0.006436939
120,0.9152746358324352,0.6784171,0.0033623115
121,0.999993868915095,0.06130935,0.009340753
122,0.7932583238903347,0.73564285,0.0008091124
123,0.9112050130055718,0.5018894,0.0071561495
124,0.7784860723720683,0.7109571,0.0039017198
125,0.9381166877062654,0.80900306,0.00086305325
126,0.8598157702858625,1.1453223,3.596055e-05
127,0.8625999550879346,1.0102929,0.005286201
128,0.9378004228728412,1.00483,0.00094396446
129,0.6410629125032756,1.1701456,0.0007282012
130,0.8202828695200056,1.0042852,0.0023913768
131,0.9087540519267016,0.39874056,0.0053581223
132,0.9075297287377284,0.39351407,0.010302698
133,0.804391893831244,0.51640874,0.013871782
134,0.710389768642874,1.1692207,0.0073539326
135,0.9990429055344514,0.4367374,4.4950688e-05
136,0.7066512841061231,1.1947435,0.00026970415
137,0.8620480990396291,0.6892052,0.0019688401
138,0.7626062253886244,0.74157435,0.0026251203
139,0.7677407925473544,0.7823545,0.0005933491
140,0.6261179892967316,1.115137,0.0008091124
141,0.9950072286080356,0.906089,0.00048546743
142,0.5343657310285125,1.0849149,0.00019778303
143,0.784099742658246,1.0816013,0.0026251203
144,0.9524839362336606,0.34705532,0.00718312
145,0.8667182054428093,0.6345414,0.0023913768
146,0.7781524486393935,1.1895931,0.0006203195
147,0.5713111715715997,1.1685673,0.000782142
148,0.8177297548192927,0.6373028,0.0019508599
149,0.9967252001637292,0.58386123,0.0032184694
150,0.8186375859865919,0.48971075,0.0041444534
151,0.8432168951062298,0.53479725,0.0051783193
152,0.8395127567828775,0.9129915,0.0013305404
153,0.7766088515995704,0.83574533,0.0030836172
154,0.9999991927191662,0.06807242,0.009520556
155,0.9999982779052105,0.06910869,5.394083e-05
156,0.6889043173469792,1.2051066,0.000521428
157,0.8390668698026482,0.8067058,0.0019868205
158,0.7129807976097462,0.7508148,0.013269443
159,0.9360668256719592,0.49880525,0.008207995
160,0.7401406796932518,1.1622573,0.005286201
161,0.7044715669102148,1.1519797,7.19211e-05
162,0.9999928873584562,0.090790525,0.009430654
163,0.7979447235242907,0.60737854,0.009763289
164,0.5138808501468883,1.1441249,0.00034162524
165,0.9444476922463866,0.5780335,0.0010698264
166,0.9523843688352364,0.60775024,0.007965262
167,0.9953430034122764,0.44017798,0.024408225
168,0.9999994143966804,0.06820587,0.009511566
169,0.816004989680715,0.64878774,0.009907132
170,0.914159492522268,0.5340379,0.0051783193
171,0.788853765809788,0.62917316,0.008729423
172,0.774381559355486,0.61629105,0.009673389
173,0.7787280948734734,0.57003766,0.0041534435
174,0.7183610000300586,0.8007884,0.0005394083
175,0.752723132055838,1.1824642,0.0016991361
176,0.7686739546290758,1.1393822,0.002094702
177,0.6659362374016481,1.041912,0.0034432227
178,0.8299914279528126,0.53220594,0.015247274
179,0.9919678858207336,0.11974662,0.063434415
180,0.948331581114086,0.57648367,0.0018070177
181,0.6307619361991678,1.0870054,0.0003506154
182,0.8686120006423382,0.7846192,0.0005573885
183,0.9999991391155828,0.08157699,0.004953566
184,0.7925730718878834,0.55644876,0.0030746271
185,0.9999707709313326,0.0533238,0.0050614476
186,0.8622485887550175,1.0783092,0.001627215
187,0.824765981464586,0.74024534,0.0107072545
188,0.8587711416897079,0.86834896,0.0005573885
189,0.8131377179850756,1.0754411,0.0021126824
190,0.8942698840825856,0.6929427,0.008154055
191,0.7244522665779011,1.0069647,0.002229554
192,0.8605626934786823,0.8838892,0.000979925
193,0.976934541503872,0.57472473,0.007902331
194,0.7968340915480339,0.8131204,0.0007282012
195,0.7417945878614639,0.71828496,0.0025352188
196,0.6208798324585916,1.1248653,0.0005034477
197,0.8129179282412096,0.367834,0.007749499
198,0.9999987520762011,0.08048569,0.004719822
199,0.613960031831251,0.99096525,0.0032724102
200,0.8043335274372119,0.77457154,0.00651785
201,0.9168897874957618,0.76208663,0.0018429783
202,0.7161377901324109,0.45053896,0.003461203
203,0.9083187207107378,0.6516083,0.0024453176
204,0.8520855996842217,0.9915085,0.00042253648
205,0.8356984618365895,0.5915999,0.00651785
206,0.8500942836547436,0.68813765,0.006913416
207,0.7743400907164963,0.6340439,0.004899625
208,0.8974127392791911,0.43232852,0.0053581223
209,0.8404725986895234,0.79592997,0.00019778303
210,0.9215741323491004,0.87026167,0.0023284457
211,0.7075263902431477,1.117933,0.0003775858
212,0.6800736318434558,0.9465594,0.0032993807
213,0.7767674115812833,0.76704615,0.0016901459
214,0.8396203860504046,0.64498365,0.0012496292
215,0.7723016376752704,1.0538021,0.001366501
216,0.95913904693446,0.56404215,0.00652684
217,0.8205513772404085,0.8651029,0.0036230255
218,0.8916626833218693,0.5722703,0.00044051674
219,0.8401466211381554,0.82968915,0.00012586193
220,0.999990386712692,0.07978815,0.0045849704
221,0.8597151198336878,1.0250388,0.0021306626
222,0.8552940974400137,0.5711029,0.009205901
223,0.8384214384783909,0.6837701,0.0030206863
224,0.6681916711888235,0.79824865,0.0030836172
225,0.8249019706888345,1.0010403,0.0015193333
226,0.8689637649251273,0.6500282,0.0036949466
227,0.8443963840238369,0.8768696,0.0012765996
228,0.8476089956685684,1.0421749,0.0005663787
229,0.922029654075456,0.88610655,8.091124e-05
230,0.8443852917702607,0.80993736,0.0027240117
231,0.6673708770703297,0.8750042,0.0008990138
232,0.9397484874213224,0.5668521,0.0012046784
233,0.8904355719133448,0.7694033,0.0036589862
234,0.9999992493948624,0.06594321,0.009493586
235,0.6372682941805905,0.9822437,0.00020677317
236,0.7087643197354346,0.8045278,0.004513049
237,0.7296178668802125,0.8164615,0.00043152663
238,0.8182417965017897,0.88046485,0.0028139132
239,0.6666235360097508,1.0412673,0.003335341
240,0.8978367671392833,0.7835062,0.0019778304
241,0.5650441805497904,1.0958356,0.0012765996
242,0.8913722392242368,0.64429504,0.0046209306
243,0.756727123812983,0.9100946,0.0032903904
244,0.6987840466592151,0.8696634,0.0025172385
