classifier,auc,n_trials,n_detections,trials_path,git_commit,timestamp
identifiability_score,0.6331923890063424,474,1,data/trials/trials.jsonl,bb7052563423041519d7ed93ff911456b02d1bff,2026-08-16T01:22:03.783972+00:00
decoder_norm,0.7621564482029598,474,1,data/trials/trials.jsonl,bb7052563423041519d7ed93ff911456b02d1bff,2026-08-16T01:22:03.783972+00:00
