classifier,auc,n_trials,n_detections,trials_path,git_commit,timestamp
identifiability_score,0.5960960960960962,120,9,data/trials/trials.jsonl,e8623da1ba54992cb7ed7b1dc7ef341841e8aca5,2026-08-17T01:01:46.590990+00:00
decoder_norm,0.43193193193193197,120,9,data/trials/trials.jsonl,e8623da1ba54992cb7ed7b1dc7ef341841e8aca5,2026-08-17T01:01:46.590990+00:00
