classifier,auc,n_trials,n_detections,trials_path,git_commit,timestamp
identifiability_score,0.8154109589041096,594,10,data/trials/trials.jsonl,e8623da1ba54992cb7ed7b1dc7ef341841e8aca5,2026-08-17T01:01:33.213906+00:00
decoder_norm,0.6972602739726028,594,10,data/trials/trials.jsonl,e8623da1ba54992cb7ed7b1dc7ef341841e8aca5,2026-08-17T01:01:33.213906+00:00
